,index,Pictures,Label,Encoding,File_Path
0,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0003.jpg
1,1,"[[[ 88  56  17]
  [ 95  63  24]
  [101  69  30]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[103  74  34]
  [107  75  36]
  [115  83  44]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[119  90  50]
  [117  88  48]
  [128  99  59]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[ 49  87   2]
  [ 51  89   4]
  [ 49  87   2]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 53  92   9]
  [ 54  93  10]
  [ 52  91   8]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 50  93  11]
  [ 52  95  13]
  [ 49  92  10]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0017.jpg
2,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0016.jpg
3,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [193 179 144]
  [194 180 145]
  [191 183 147]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [192 178 143]
  [192 178 143]
  [190 182 146]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [191 177 142]
  [191 177 142]
  [189 179 144]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [183 174 145]
  [183 173 146]
  [180 174 142]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [181 172 143]
  [182 172 145]
  [178 172 140]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [180 171 142]
  [180 170 143]
  [177 171 139]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0002.jpg
4,4,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [207 209 204]
  [209 211 206]
  [211 213 208]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [207 209 204]
  [208 210 205]
  [210 212 207]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [207 209 204]
  [206 208 203]
  [208 210 205]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 38  64   0]
  [ 39  64   0]
  [ 39  64   0]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 41  63   0]
  [ 45  67   3]
  [ 44  66   2]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 43  63   0]
  [ 48  68   5]
  [ 47  67   4]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0028.jpg
5,5,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 251]
  [255 255 253]
  [255 254 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 251]
  [255 255 253]
  [255 254 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 251]
  [255 255 253]
  [255 254 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 251]
  [255 255 253]
  [255 254 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 251]
  [255 255 253]
  [255 254 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 251]
  [255 255 253]
  [255 254 255]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0014.jpg
6,6,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0001.jpg
7,7,"[[[255 255 253]
  [254 255 250]
  [252 253 247]
  ...
  [ 33   4   0]
  [ 33   4   0]
  [ 33   4   0]]

 [[255 255 253]
  [255 255 251]
  [254 255 249]
  ...
  [ 33   4   0]
  [ 33   4   0]
  [ 33   4   0]]

 [[255 255 253]
  [255 255 251]
  [254 255 249]
  ...
  [ 33   4   0]
  [ 33   4   0]
  [ 33   4   0]]

 ...

 [[255 251 255]
  [255 254 250]
  [251 255 228]
  ...
  [147 121  96]
  [147 121  96]
  [146 120  95]]

 [[255 251 255]
  [254 253 249]
  [251 255 230]
  ...
  [176 149 120]
  [175 148 121]
  [174 147 120]]

 [[255 249 255]
  [251 250 246]
  [251 255 230]
  ...
  [185 156 126]
  [184 155 125]
  [183 153 125]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0015.jpg
8,8,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [254 255 255]
  [254 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [254 255 255]
  [254 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [254 255 255]
  [254 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 244]
  [255 255 253]
  [255 254 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 244]
  [255 255 253]
  [255 254 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 244]
  [255 255 253]
  [255 254 255]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0029.jpg
9,9,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 253 236]
  [254 253 249]
  [255 254 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 254 253]
  [253 253 255]
  [254 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 254 253]
  [253 253 255]
  [254 255 255]]]",airplanes,0,/Users/vsingh/Projects/Image_Classification/20_categories_training/20_categories_training/airplanes/airplanes_0011.jpg
