,Encoding,image_size,red_ch_intensity,green_ch_intensity,blue_ch_intensity,gray_intensity,aspect_ratio,red_ch_std,green_ch_std,blue_ch_std,gray_std,red_ch_skew,green_ch_skew,blue_ch_skew,gray_skew,red_ch_kurt,green_ch_kurt,blue_ch_kurt,gray_kurt,low_contrast,bag_of_words_01,bag_of_words_02,bag_of_words_03,bag_of_words_04,bag_of_words_05,bag_of_words_06,bag_of_words_07,bag_of_words_08,bag_of_words_09,bag_of_words_10,bag_of_words_11,bag_of_words_12,bag_of_words_13,bag_of_words_14,bag_of_words_15,bag_of_words_16,bag_of_words_17,bag_of_words_18,bag_of_words_19,bag_of_words_20
0,0,194535,170.12378749325313,147.7886807001311,111.7537975171563,0.5879873561418708,0.4198473282442748,64.39142812521081,68.08544310291575,89.91429443391004,0.25875520637885474,-0.25901906269358677,0.10632334939721289,0.4418299985019914,0.15797277185301697,-0.9041414064502096,-0.3441782478111137,-1.202180195133039,-0.3486189875486647,0,0.5653185387083051,-0.43127944188926776,-0.30737523965477265,-0.13686073389925507,-0.3470003585365888,-0.3193346532470299,0.06610070925442263,-0.35936139345996315,-0.42313881553655763,-0.3540540065844002,0.024414036067022242,-0.4329514071384849,-0.3656988953136319,-0.6339522316400508,-0.3016617539178432,-0.41199326140296855,-0.30289686555258943,-0.14866530501648692,-0.3453830542976363,-0.16507005683353396
1,0,208278,98.4269726039236,104.4998703655691,67.53163080114078,0.3942900765436241,0.43609022556390975,67.4979230165247,62.734611197442035,72.4635961219424,0.24767424716298872,0.9615374965946906,0.9271376221182998,1.35568918250788,1.031927355337219,-0.02854651433822486,0.5068238093861646,0.8625904202756871,0.5740224552920932,0,-0.056552569097606226,-0.39429784980282656,-0.4199494950547094,-0.12293435863094906,-0.32082053756833445,-0.3602598127477501,-0.1298379797827751,-0.3424265096528142,-0.3464773936830713,-0.19603398784756101,-0.15553564962656075,-0.44490989419504906,-0.4202574920600549,-0.4513895572303973,-0.0881634626970891,-0.36973941898213575,-0.2912699265659532,-0.201077899926586,-0.23323836782950103,-0.16507005683353396
2,0,201096,174.86531805704738,175.5921500179019,163.57781358157297,0.6845939787025922,0.4362244897959184,77.06543483392814,78.29064269947047,84.9289144957703,0.30703853989430985,-0.914681621249164,-0.9598218301998382,-0.7883656360946624,-0.9301797367618092,-0.5718880439061453,-0.473785273421798,-0.8441265744911055,-0.5419906751401244,0,-0.35112309384777474,-0.44360663925141486,-0.28690719321842045,-0.512872866143517,-0.3470003585365888,-0.3485669100332586,-0.19171335526820596,-0.4016986029778355,-0.47424643010554857,-0.3884061845706696,-0.2198033945171261,-0.28944956245971504,-0.43844369097552927,-0.4818166696320062,-0.2589620956736924,-0.4204440298871351,-0.27964298757931694,-0.23776671636365534,-0.3080014921415912,-0.23603861322389882
3,0,221352,210.7398216415483,189.2801013769923,164.80524232896022,0.7532378611601855,0.45885286783042395,55.293246553651294,74.4866192898174,70.41798804946009,0.26858470213272256,-1.9628533293293784,-1.597588188605532,-1.2687768439817317,-1.5628967264910112,3.2120875809410894,1.2825284523598226,0.6364701436527485,1.2947832472189322,0,-0.5147733853756461,-0.5422242181485913,-0.4506515647092377,-0.27612448658231503,-0.33129246595563616,-0.3193346532470299,-0.2226510430109214,-0.41016604488141,-0.4486926228210531,-0.42962879815419286,-0.22623016900618265,-0.49274384242130564,-0.43844369097552927,-0.542670894435224,-0.3728278509914279,-0.3866409559504689,-0.3377776825124981,-0.24824923534567517,-0.2893107110635687,-0.2502323245019718
4,0,166662,147.54856535983006,155.96790510134284,127.91705367750296,0.5966914863475,0.35786802030456855,74.45116553688908,73.35711188010674,95.62176893749496,0.2932729833826374,-0.20414392690576336,-0.3252321531286594,-0.2143512363146903,-0.26301473769406825,-1.371266242527338,-1.278711334346842,-1.6658653848578746,-1.387015980649537,0,-0.1711077731671162,-0.4559338366135619,-0.44041754149106155,-0.45716736507029304,-0.3470003585365888,-0.37195271546224157,-0.0731188855877968,-0.4271009286885589,-0.43165675129805614,-0.36779487777890796,-0.24551049247335224,-0.4329514071384849,-0.5111884866374266,-0.46660311343120175,-0.3230115830399186,-0.41199326140296855,-0.378471968965725,-0.19583664043557608,-0.3703040957349997,-0.22184490194582585
5,0,181488,203.01715815921713,189.09666754826765,165.90516728378736,0.7465986848393152,0.38190954773869346,57.34686065600993,63.754391477706875,61.81509315381187,0.24350825632914883,-1.6738290545630607,-1.7350923418712767,-1.3537040766197797,-1.7018445492550827,2.1575152563873123,2.228092011012781,1.4549073929957812,2.146901698986337,0,-0.383853152153349,-0.43127944188926776,-0.4301835182728855,-0.429314614533681,-0.3679442153111922,-0.35441336139050433,-0.21233848043001624,-0.3847637191706866,-0.46572849434405006,-0.42962879815419286,-0.2712175904295784,-0.44490989419504906,-0.4748160888064779,-0.4057488886279839,-0.344361412161994,-0.33593634504546954,-0.3610315604857706,-0.24300797585466527,-0.3640738353756589,-0.2596947986873538
6,0,195816,183.35572680475548,176.7503370511092,149.15158107611228,0.6908396551684776,0.4120603015075377,56.406650480772115,64.03996631801229,79.6483556434069,0.24577134113356774,-1.1047362510341494,-0.767880010949707,-0.20033829788859628,-0.7842275385656218,0.8523296066686612,-0.10465858952509421,-1.3866169180185766,-0.023302247433460987,0,-0.07291759825039337,-0.5052426260621502,-0.40971547183653334,-0.15078710916756108,-0.3574722869238905,-0.3017952991752927,-0.09890029204005966,-0.41016604488141,-0.4146208797750592,-0.3265722641953847,-0.16838919860467383,-0.34924199774253584,-0.4293505915177921,-0.5122437820336151,-0.26607870538105083,-0.3612886504979692,-0.3610315604857706,-0.19059538094456618,-0.3703040957349997,-0.1887262422969889
7,0,245367,96.75455134553546,89.42006871339667,57.28860849258458,0.34769399212080626,0.48418491484184917,53.74593115827608,56.804103219976156,62.28788278676196,0.2177720132103953,1.135984457213202,0.8962741851786713,1.4861758291937919,1.064026424770842,0.7739375567572315,0.6925590057072277,1.5081095330698977,0.9405717510829459,0,-0.056552569097606226,-0.1477539025598853,-0.10269477529125115,-0.45716736507029304,-0.28940475240642927,-0.23748433424558957,-0.14015054236368024,-0.24081720680992053,-0.3209235863985758,0.12000604962611736,-0.13625532615939115,-0.21769864012033013,-0.12018520995472856,-0.19275910181672154,-0.024113975330862885,-0.31903480807713647,-0.14011971973968212,-0.143424045525477,-0.19585680567345592,-0.11302644881393306
8,0,171936,132.55855667225015,136.30525893355667,106.68708123953098,0.523033780750156,0.36180904522613067,71.9153928427882,72.19365287237642,87.16240050153792,0.28567536811906497,0.08195557170782333,-0.10633078539655919,0.08712672140621469,-0.027704551027426992,-1.0585002478219268,-0.9824769820062795,-1.3339334717496816,-1.0544485590577868,0,0.025272576666329465,-0.4189522445271207,-0.4813536343637659,-0.40146186399706907,-0.36270825111754135,-0.3485669100332586,-0.1865570739777534,-0.43556837059213344,-0.42313881553655763,-0.3884061845706696,-0.29692468838580455,-0.42099292008192074,-0.48390918826421503,-0.5274573382344195,-0.3230115830399186,-0.4373455668554682,-0.36684502997908874,-0.22728419738163555,-0.3391527939382955,-0.2502323245019718
9,0,193914,150.5112317831616,150.7897521581732,125.0965995235001,0.5838356481314639,0.40601503759398494,80.12743583800685,81.23799739566552,104.38138370374955,0.3225764927332389,-0.09411155247127123,-0.08377973437565932,0.11302605653944502,-0.046643944732456255,-1.3440622132720255,-1.3536692184296997,-1.7676996129400964,-1.407105215213039,0,-0.04018753994481909,-0.3326618629920913,-0.39948144861835727,-0.317903612387233,-0.3470003585365888,-0.295948847818047,-0.16077566752549052,-0.3678288353635376,-0.42313881553655763,-0.3540540065844002,-0.23265694349523916,-0.37315897185566416,-0.3747919947713691,-0.4513895572303973,-0.26607870538105083,-0.3528378820138027,-0.33196421301918,-0.23252545687264545,-0.3266922732196138,-0.1887262422969889
10,0,208560,147.39788550057537,150.50478998849252,86.25296317606444,0.5694588865554276,0.44556962025316454,73.85543867035501,71.38585451240903,94.39131094917612,0.2815737208590988,-0.043929075036581576,-0.08525477438503183,0.9407955764918736,0.09512047707724221,-0.8965382403721938,-0.7557313809844302,-0.7656582142716255,-0.79585434662676,0,0.9089841509168349,-0.3449890603542383,-0.3892474254001812,0.07203489512533491,-0.3155845733746836,-0.27840949374630974,0.004225333768991772,-0.3678288353635376,-0.3209235863985758,-0.2716087794173537,-0.12340177718127807,-0.2296571271768943,-0.3747919947713691,-0.3601082200255706,0.03993551203536334,-0.3528378820138027,-0.2912699265659532,-0.14866530501648692,-0.3391527939382955,-0.17453253101891594
11,0,208152,178.09192320996195,172.00002882508934,154.31495733886774,0.674586128343993,0.45153061224489793,68.12597608867988,78.04958556575666,93.44650384587355,0.2976529664794246,-0.8456144598569364,-0.6095933298702698,-0.20964506302532604,-0.6192431854249374,-0.26910780849138094,-0.8930092027781478,-1.6892097509902084,-0.839781799983216,0,-0.10564765655596764,-0.3326618629920913,-0.33807730930930086,-0.23434536077739707,-0.28940475240642927,-0.2608701396745725,-0.04733747913553395,-0.31702418394209075,-0.3464773936830713,-0.2647383438200998,-0.12340177718127807,-0.31336653657284336,-0.22930240344757452,-0.375321776226375,-0.27319531508840933,-0.34438711352963614,-0.27964298757931694,-0.16963034298052654,-0.3017712317822504,-0.18399500520429793
12,0,132888,207.50930106555896,214.24112786707605,229.58626061043887,0.8388901911472553,0.288265306122449,75.22613464103713,65.4043582455102,42.7064688055058,0.2571022207560591,-1.2583039288524456,-1.2889673204127905,-1.8749277322276954,-1.2821128434433526,-0.12637987961004216,0.06733649792210317,3.5183941196614654,0.030984638568788192,0,-0.28566297723662615,-0.5668786128728855,-0.501821680800118,-0.596431117753353,-0.37841614369849397,-0.35441336139050433,-0.2381198868822791,-0.41863348678498447,-0.482764365867047,-0.42962879815419286,-0.2583640414514653,-0.49274384242130564,-0.48390918826421503,-0.542670894435224,-0.33724480245463556,-0.4204440298871351,-0.34359115200581625,-0.2115604189086058,-0.357843575016318,-0.2596947986873538
13,0,200430,152.15975153420146,132.64831612034126,77.91730279898219,0.5209740787659474,0.43256997455470736,64.52551397994613,62.76990728703272,83.41277250303867,0.24432966755903002,0.10829875921770175,0.41088351940165563,1.0951668610590886,0.43592998380661463,-0.8655644032622649,-0.1882061222769833,-0.19615570960277218,-0.24739106367320085,0,-0.10564765655596764,-0.3080074682677971,-0.3483113325274769,-0.19256623497247907,-0.2841687882127784,-0.24917723696008107,0.04547558409261235,-0.2746869744242184,-0.31240565063707737,-0.2990905218063692,0.05012113402324838,-0.18182317895063768,-0.34751269639815763,-0.3144675514231572,-0.22337904713690004,-0.2936825026246368,-0.18662747568622706,-0.19059538094456618,-0.23946862818884188,-0.1887262422969889
14,0,163167,161.14887201456176,145.08821636728015,127.47092242916766,0.5773760737230965,0.345088161209068,88.66244074475809,92.85088089210971,98.66056879766181,0.36080247258837655,-0.2753006604109465,-0.09221608455162392,0.15178531513426702,-0.09567570857346008,-1.4274310870067666,-1.610186843772612,-1.8701969364901196,-1.61426656157563,0,0.13982778073583943,-0.44360663925141486,-0.46088558792741374,-0.3596827381921511,-0.3103486091810327,-0.37195271546224157,-0.24327616817273168,-0.43556837059213344,-0.4486926228210531,-0.34031313538989244,-0.2583640414514653,-0.4329514071384849,-0.46572298934874073,-0.4361760010295928,-0.3158949733325601,-0.4542471038238013,-0.33196421301918,-0.24300797585466527,-0.3391527939382955,-0.24550108740928078
